countryName,alcoloholPerYear,alcoholPerDay,beer%,wine%,spirits%
Tunisia,36.6,79.1,72.2,23.9,3.8
Swaziland,34.4,74.3,24.6,16.1,0
Maldives,33.7,72.8,30.8,37.2,31.9
Afghanistan,33.5,72.4,0,0,0
Namibia,32.4,70.1,60.2,10.4,13.9
South Africa,29.9,64.6,56,18.5,17.8
Algeria,29.1,63,57.3,24.4,18.3
Turkey,28.5,61.7,57.6,8.6,33.8
Iran,28.4,61.4,0,0,0
Lesotho,28.2,61,57.4,3.2,10.5
Georgia,27.9,60.4,18.4,43,38.5
Nauru,27.3,59,22,3.7,74.3
Zimbabwe,27.2,58.8,62.8,1.3,12
Libya,26.4,57,0,0,0
Botswana,26.2,56.6,48.1,23.5,4.4
Uganda,26,56.3,11,0.1,3.1
Pakistan,26,56.2,0,0,0
Laos,25.9,56,50.1,0,49.8
Tanzania,25.8,55.7,12.2,0.4,1.6
Rwanda,25.6,55.4,14.8,0.2,2.7
Nigeria,25.5,55,7.9,0.4,0.6
Lebanon,25,54.1,33.9,15.4,49.2
Jordan,24.6,53.2,19.9,2.6,75.9
Morocco,24.5,52.9,42.9,39.8,17
Kyrgyzstan,24,51.9,11.6,2.2,86.2
Burundi,23.7,51.2,39.3,0.1,0.1
Moldova,22.8,49.2,16.2,56.6,25.2
Vietnam,22.8,49.3,91.5,0.8,7.7
Cameroon,22.6,48.8,43.5,1.4,0.1
Comoros,22.3,48.3,24.6,30.6,44.8
Burkina Faso,22.2,47.9,18,2.7,5
Bahrain,22.1,47.9,19,6.2,45.2
Sudan,22,47.5,0,0,0
Mongolia,21.9,47.2,43.6,1.9,54.5
Seychelles,21.8,47.2,68.9,22.4,6.3
Cambodia,21.7,47,88.1,0.6,11.2
Ivory Coast,21.7,46.9,21.9,5,0.2
Armenia,21.3,46,10.6,7,82.3
Niue,21,45.5,56.3,13.1,30.6
Cook Islands,20.8,45.1,31.7,16.1,52.2
United Arab Emirates,20.5,44.2,10.1,7.7,81.9
Thailand,20.3,43.9,28.3,2.7,68.9
Sao Tome And Principe,20.1,43.5,19.8,80.2,0
Paraguay,20.1,43.5,54.2,17.4,27.3
Russia,20.1,43.5,39,12.8,38.6
Philippines,19.9,43.1,27.3,0.4,72
Saint Lucia,19.8,42.8,35.4,13.2,50
Brazil,19.3,41.7,61.8,3.4,34.3
Bulgaria,19.2,41.5,38.8,17.2,42.9
Kazakhstan,19.2,41.5,30.5,6.5,62.9
Czech Republic,19.1,41.3,53.3,21.3,25.4
Barbados,19,41.1,37.6,10.5,50
Lithuania,18.9,41,43.6,7.3,37.1
Romania,18.8,40.7,55.6,28.1,16.4
Grenada,18.7,40.4,40.9,7,48.3
Liberia,18.7,40.5,9.4,1.8,88.2
Serbia,18.5,39.9,32,42.5,25.4
Sierra Leone,18.3,39.5,4,1.1,0
Dominica,18,39,11.1,0,88.9
Turkmenistan,17.8,38.6,26.8,35.1,38
Portugal,17.8,38.4,26.1,61.5,7.7
Saint Vincent And The Grenadines,17.7,38.2,36.6,3.6,57.2
Slovenia,17.7,38.3,41.4,50.6,8
Zambia,17.7,38.3,36.4,2.7,0.4
Myanmar,17.6,38.1,22.4,9.8,67.7
Latvia,17.2,37.2,42.8,11.1,40
Gabon,17.2,37.2,76.3,9.2,13.4
Saint Kitts And Nevis,17.1,37,47.8,6.5,43.4
Hungary,17.1,37,35.5,32.2,32.3
Poland,17.1,37,56.1,7.8,36.1
Cape Verde,17,36.7,55,45,0
Fiji,16.9,36.5,69.8,1.2,28.9
