country,healthGrade,pop2020
Spain,92.75,46754.778
Italy,91.59,60461.826
Iceland,91.44,341.243
Japan,91.38,126476.461
Switzerland,90.93,8654.622
Sweden,90.24,10099.265
Australia,89.75,25499.884
Singapore,89.29,5850.342
Norway,89.09,5421.241
Israel,88.15,8655.535
Luxembourg,87.39,625.978
France,86.94,65273.511
Austria,86.3,9006.398
Finland,85.89,5540.72
Netherlands,85.86,17134.872
Canada,85.7,37742.154
South Korea,85.41,51269.185
New Zealand,85.06,4822.233
United Kingdom,84.28,67886.011
Ireland,84.06,4937.786
Cyprus,83.58,1207.359
Portugal,83.1,10196.709
Germany,83.06,83783.942
Slovenia,82.72,2078.938
Denmark,82.69,5792.202
Greece,82.29,10423.054
Malta,81.7,441.543
Belgium,80.46,11589.623
Czech Republic,77.59,10708.981
Cuba,74.66,11326.616
Croatia,73.36,4105.267
Estonia,73.32,1326.535
Costa Rica,73.21,5094.118
Chile,73.21,19116.201
United States,73.02,331002.651
Bahrain,72.31,1701.575
Qatar,71.97,2881.053
Maldives,70.95,540.544
Lebanon,70.53,6825.445
Poland,70.25,37846.611
Montenegro,69.69,628.066
Bosnia And Herzegovina,69.66,3280.819
Albania,68.04,2877.797
Brunei,67.96,437.479
Slovakia,67.28,5459.642
United Arab Emirates,67.14,9890.402
Uruguay,65.66,3473.73
Hungary,64.43,9660.351
Oman,64.07,5106.626
Panama,64.01,4314.767
Turkey,62.81,84339.067
China,62.52,1439323.776
Mexico,62.09,128932.753
Argentina,61.19,45195.774
Serbia,60.99,8737.371
Macedonia,60.21,2083.374
