countryName,Recreational,Medical
Afghanistan,Illegal,Illegal
Albania,Illegal,Illegal
Algeria,Illegal,Illegal
Andorra,Illegal,Illegal
Angola,Illegal,Illegal
Antigua and Barbuda,Decriminalized,Illegal
Argentina,Decriminalized,Legal
Armenia,Illegal,Illegal
Australia,Decriminalized,Legal
Austria,Decriminalized,Legal
Azerbaijan,Illegal,Illegal
Bahamas,Illegal,Illegal
Bahrain,Illegal,Illegal
Bangladesh,Illegal,Illegal
Barbados,Legal,Legal
Belarus,Illegal,Illegal
Belgium,Decriminalized,Legal
Belize,Decriminalized,Illegal
Benin,Illegal,Illegal
Bermuda,Decriminalized,Legal
Bhutan,Illegal,Illegal
Bolivia,Decriminalized,Illegal
Bosnia and Herzegovina,Illegal,Illegal
Botswana,Illegal,Illegal
Brazil,Illegal,Legal
Brunei,Illegal,Illegal
Bulgaria,Illegal,Illegal
Burkina Faso,Illegal,Illegal
Burundi,Illegal,Illegal
Cambodia,Illegal,Illegal
Cameroon,Illegal,Illegal
Canada,Legal,Legal
Cape Verde,Illegal,Illegal
Central African Republic,Illegal,Illegal
Chad,Illegal,Illegal
Chile,Decriminalized,Legal
China,Illegal,Illegal
Colombia,Decriminalized,Legal
Comoros,Illegal,Illegal
Congo,Illegal,Illegal
Congo,Illegal,Illegal
Costa Rica,Decriminalized,Illegal
Croatia,Decriminalized,Legal
Cuba,Illegal,Illegal
Cyprus,Illegal,Legal
Czech Republic,Decriminalized,Legal
Denmark,Illegal,Legal
Djibouti,Illegal,Illegal
Dominica,Illegal,Illegal
Dominican Republic,Illegal,Illegal
East Timor,Illegal,Illegal
Ecuador,Decriminalized,Legal
Egypt,Illegal,Illegal
El Salvador,Illegal,Illegal
Equatorial Guinea,Illegal,Illegal
Eritrea,Illegal,Illegal
Estonia,Decriminalized,Legal
Eswatini (Swaziland),Illegal,Illegal
Ethiopia,Illegal,Illegal
Fiji,Illegal,Illegal
Finland,Illegal,Legal
France,Illegal,Legal
Gabon,Illegal,Illegal
Gambia,Illegal,Illegal
Georgia,Legal,Legal
Germany,Illegal,Legal
Ghana,Illegal,Legal
Greece,Illegal,Legal
Greenland,Illegal,Illegal
Grenada,Illegal,Illegal
Guatemala,Illegal,Illegal
Guinea,Illegal,Illegal
Guinea-Bissau,Illegal,Illegal
Guyana,Illegal,Illegal
Haiti,Illegal,Illegal
Honduras,Illegal,Illegal
Hong Kong S.A.R. of China,Illegal,Illegal
Hungary,Illegal,Illegal
Iceland,Illegal,Illegal
India,Illegal,Illegal
